Teil der Merit-Order?;MaStR-Nr. ;ÜNB;Status;Anlagenbetreiber;Anzeige-Name;PLZ der Einheit;Ort der Einheit;"Straße und Hausnummer
der Einheit";Bundesland der Einheit;Datum der erstmaligen Inbetriebnahme der Einheit;Energieträger;Hauptbrennstoff;Auswertung Energieträger;Wärmeauskopplung (KW) ja/nein;Technologie der Stromerzeugung;Angenommener Hauptenergieträger ;Zuordnung Kraftwerkstyp;Effizienz;Quelle Effizienz;Bruttoleistung [MW];"Netto-Nennleistung
(elektrische Wirkleistung) [MW]";"Mittlere verfügbare
Netto-Nennleistung [MW]";Brennstoffkosten (inkl. Transport) [EUR/MWHth];Grenzkosten [EUR/MWHel]
Ja;SEE996548424685;50Hertz;In Betrieb;ArcelorMittal Eisenhüttenstadt GmbH;IKW Block 4;15890;Eisenhüttenstadt;Jugendstraße 1;Brandenburg;36082;andere Gase;Hochofengas, Konvertergas;Sonstige Energieträger (nicht erneuerbar);Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,54;Annahme basierend auf DIW (2014);36;34,7;29,495;95,59;205,5016667
Ja;SEE983138549866;50Hertz;In Betrieb;ArcelorMittal Eisenhüttenstadt GmbH;IKW Block 7;15890;Eisenhüttenstadt;Jugendstraße 1;Brandenburg;41402;andere Gase;Hochofengas, Konvertergas;Sonstige Energieträger (nicht erneuerbar);Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,585;Annahme basierend auf DIW (2014);56;53,9;45,815;95,59;189,7707692
Ja;SEE921449009914;50Hertz;In Betrieb;CropEnergies Bioethanol GmbH;Dampfturbine IV CropEnergies Zeitz;06712;Zeitz;Albrechtstraße 54;Sachsen-Anhalt;37987;Erdgas;Dampf (zum Beispiel Prozesswärme);Erdgas;Ja;Gegendruckmaschine ohne Entnahme;Erdgas;GuD;0,407;Annahme basierend auf DIW (2014);20,273;17,773;15,46251;40,69;135,7244472
Ja;SEE966844914388;50Hertz;In Betrieb;envia THERM GmbH;Großkayna GT1;06242;Großkayna;Werkstraße 1;Sachsen-Anhalt;34351;Mineralölprodukte;Heizöl, leicht;Mineralölprodukte;Nein;Gasturbinen ohne Abhitzekessel;Öl;Öl;0,3644;OPSD (2020);45,625;45,625;38,78125;95,89;317,4324918
Ja;SEE941844408532;50Hertz;In Betrieb;envia THERM GmbH;Großkayna GT2;06242;Großkayna;Werkstraße 1;Sachsen-Anhalt;34351;Mineralölprodukte;Heizöl, leicht;Mineralölprodukte;Nein;Gasturbinen ohne Abhitzekessel;Öl;Öl;0,3644;OPSD (2020);45,625;45,625;38,78125;95,89;317,4324918
Ja;SEE905270326723;50Hertz;In Betrieb;envia THERM GmbH;Großkayna GT3;06242;Großkayna;Werkstraße 1;Sachsen-Anhalt;34351;Mineralölprodukte;Heizöl, leicht;Mineralölprodukte;Nein;Gasturbinen ohne Abhitzekessel;Öl;Öl;0,3644;OPSD (2020);45,625;45,625;38,78125;95,89;317,4324918
Ja;SEE985842749525;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Boxberg Block N;02943;Boxberg;Am Kraftwerk 1;Sachsen;28856;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,35;OPSD (2020);540;500;435;3,1;90,60685714
Ja;SEE908125004449;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Boxberg Block P;02943;Boxberg;Am Kraftwerk 1;Sachsen;29403;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,35;OPSD (2020);540;500;435;3,1;90,60685714
Ja;SEE968582186379;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Boxberg Block R;02943;Boxberg;Am Kraftwerk 1;Sachsen;41219;Braunkohle;Rohbraunkohlen;Braunkohle;Nein;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,437;OPSD (2020);666;630;548,1;3,1;72,90686499
Ja;SEE938337436349;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Schwarze Pumpe Block A;03130;Spremberg;An der alten Ziegelei 1;Brandenburg;35779;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,41;OPSD (2020);803;755;656,85;3,1;77,59609756
Ja;SEE952672318108;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Schwarze Pumpe Block B;03130;Spremberg;An der alten Ziegelei 1;Brandenburg;35940;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,41;OPSD (2020);803;755;656,85;3,1;77,59609756
Ja;SEE907389779292;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Boxberg Block Q;02943;Boxberg;Am Kraftwerk 1;Sachsen;36800;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,423;OPSD (2020);893;840;730,8;3,1;75,26359338
Ja;SEE966331411864;50Hertz;In Betrieb;Lausitz Energie Kraftwerke AG;Kraftwerk Lippendorf Block R;04575;Neukieritzsch;Hauptstraße 200;Sachsen;36697;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,41;OPSD (2020);942;891;775,17;3,1;77,59609756
Ja;SEE998111672394;50Hertz;In Betrieb;MIBRAG GmbH;IKW Wählitz;06679;Hohenmölsen;Fabrikstraße 26;Sachsen-Anhalt;34571;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Gegendruckmaschine mit Entnahme;Braunkohle;Braunkohle;0,385;OPSD (2020);35;31;26,97;3,1;82,52441558
Ja;SEE906257837416;50Hertz;In Betrieb;PCK Raffinerie GmbH;5MKA;16303;Schwedt;Passower Chaussee 111;Brandenburg;26325;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Ja;Gegendruckmaschine mit Entnahme;Öl;Öl;0,3542;OPSD (2020);30;28;23,8;95,89;326,5448899
Ja;SEE960529046555;50Hertz;In Betrieb;PCK Raffinerie GmbH;6MKA;16303;Schwedt;Passower Chaussee 111;Brandenburg;34344;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Nein;Kondensationsmaschine ohne Entnahme;Öl;Öl;0,3784;OPSD (2020);36;34,5;29,325;95,89;305,7251586
Ja;SEE943750140889;50Hertz;In Betrieb;PCK Raffinerie GmbH;4MKA;16303;Schwedt;Passower Chaussee 111;Brandenburg;40790;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Nein;Kondensationsmaschine ohne Entnahme;Öl;Öl;0,3971;OPSD (2020);63;59;50,15;95,89;291,3752203
Ja;SEE954086855965;50Hertz;In Betrieb;PCK Raffinerie GmbH;1MKA;16303;Schwedt;Passower Chaussee 111;Brandenburg;35950;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Ja;Kondensationsmaschine mit Entnahme;Öl;Öl;0,3828;OPSD (2020);117;106;90,1;95,89;302,2225705
Ja;SEE995943794058;50Hertz;In Betrieb;PCK Raffinerie GmbH;2MKA;16303;Schwedt;Passower Chaussee 111;Brandenburg;35950;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Ja;Kondensationsmaschine mit Entnahme;Öl;Öl;0,3828;OPSD (2020);117;106;90,1;95,89;302,2225705
Ja;SEE927630371594;50Hertz;In Betrieb;ROMONTA GmbH;Grubenheizkraftwerk Amsdorf;06317;Seegebiet Mansfelder Land;Chausseestraße 1;Sachsen-Anhalt;22007;Braunkohle;Staub- und Trockenkohle;Braunkohle;Ja;Gegendruckmaschine mit Entnahme;Braunkohle;Braunkohle;0,3496;OPSD (2020);45,189;45,189;39,31443;3,1;90,70858124
Ja;SEE919134316447;50Hertz;In Betrieb;Saale Energie GmbH;Schkopau A+B Bahngenerator;06258;Schkopau;An der Bober 100;Sachsen-Anhalt;35065;Wärme;;Wärme;Nein;Kondensationsmaschine ohne Entnahme;Sonstige;Sonstige;0,4;Annahme basierend auf DIW (2014);112;110;93,5;95,59;277,07725
Ja;SEE960652233358;50Hertz;In Betrieb;Saale Energie GmbH;Schkopau A;06258;Schkopau;An der Bober 100;Sachsen-Anhalt;34700;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,4;OPSD (2020);500;450;391,5;3,1;79,4935
Ja;SEE947677200282;50Hertz;In Betrieb;Saale Energie GmbH;Schkopau B;06258;Schkopau;An der Bober 100;Sachsen-Anhalt;35065;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,4;OPSD (2020);500;450;391,5;3,1;79,4935
Ja;SEE994335340088;50Hertz;In Betrieb;Stadtwerke Frankfurt (Oder) GmbH;HKW DT;15236;Frankfurt;Am Hohen Feld 4;Brandenburg;35712;Braunkohle;Staub- und Trockenkohle;Braunkohle;Ja;Dampfmotor;Braunkohle;Braunkohle;0,376;Annahme basierend auf DIW (2014);17,5;16,958;14,75346;3,1;84,45904255
Ja;SEE970305352633;50Hertz;In Betrieb;Südzucker AG;Dampfturbine III Südzucker Zeitz;06712;Zeitz;Albrechtstraße 54;Sachsen-Anhalt;34182;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,3832;OPSD (2020);19,35;16,85;14,3225;95,59;289,1808455
Ja;SEE982556430190;50Hertz;In Betrieb;TotalEnergies Raffinerie Mitteldeutschland GmbH;Raffineriekraftwerk Leuna HDT;06237;Leuna;Am Haupttor 3691;Sachsen-Anhalt;35431;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Ja;Gegendruckmaschine ohne Entnahme;Öl;Öl;0,38;OPSD (2020);33,6;29,3;24,905;95,89;304,4421053
Ja;SEE974711013546;50Hertz;In Betrieb;TotalEnergies Raffinerie Mitteldeutschland GmbH;Raffineriekraftwerk Leuna NDT;06237;Leuna;Am Haupttor 3691;Sachsen-Anhalt;35431;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Nein;Kondensationsmaschine ohne Entnahme;Öl;Öl;0,38;OPSD (2020);34,2;29,8;25,33;95,89;304,4421053
Ja;SEE912935247576;50Hertz;In Betrieb;TotalEnergies Raffinerie Mitteldeutschland GmbH;Raffineriekraftwerk Leuna MDT;06237;Leuna;Am Haupttor 3691;Sachsen-Anhalt;35431;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Ja;Gegendruckmaschine mit Entnahme;Öl;Öl;0,38;OPSD (2020);38,3;33,4;28,39;95,89;304,4421053
Ja;SEE943427876363;50Hertz;In Betrieb;EnBW Energie Baden-Württemberg AG;Kraftwerk Rostock Block A;18147;Rostock;Am Kühlturm 1;Mecklenburg-Vorpommern;34608;Steinkohle;Steinkohlen;Steinkohle;Ja;Kondensationsmaschine mit Entnahme;Steinkohle;Steinkohle;0,432;OPSD (2020);553;514;411,2;15,55;91,39479167
Ja;SEE998199911088;50Hertz;In Betrieb;EnBW Energie Baden-Württemberg AG;Kraftwerk Lippendorf Block S;04575;Neukieritzsch;Hauptstraße 200;Sachsen;36495;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,42;OPSD (2020);942;891;775,17;3,1;75,78904762
Ja;SEE945150729886;Amprion;In Betrieb;AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH;RZR I Turbine1;45699;Herten;Im Emscherbruch 11;Nordrhein-Westfalen;29587;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);14,9;14,88;12,648;0;1
Ja;SEE941568392261;Amprion;In Betrieb;AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH;RZR I Turbine2;45699;Herten;Im Emscherbruch 11;Nordrhein-Westfalen;29587;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);14,9;14,88;12,648;0;1
Ja;SEE953718174887;Amprion;In Betrieb;Allgäuer Überlandwerk GmbH;Spitzenlastkraftwerk Veits Gasturbine;87448;Waltenhofen;Veits 13;Bayern;32323;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,3488;OPSD (2020);21,76;20;17,4;40,69;157,6208429
Ja;SEE900664653232;Amprion;In Betrieb;AMK-Abfallentsorgungsgesellschaft des Märkischen Kreises mbH;Turbine 1;58636;Iserlohn;Giesestraße 10;Nordrhein-Westfalen;35278;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);13;10,7;9,095;0;1
Ja;SEE909553236495;Amprion;In Betrieb;Arla Foods Deutschland GmbH;Turbine Pronsfeld;54597;Pronsfeld;Im Scheid 1;Rheinland-Pfalz;44496;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,63;Annahme basierend auf DIW (2014);12,982;12,255;10,66185;40,69;88,21325397
Ja;SEE957830042178;Amprion;In Betrieb;AVEA Entsorgungsbetriebe;Turbine 3;51373;Leverkusen;Im Eisholz 12;Nordrhein-Westfalen;40399;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);23,65;18,65;15,8525;0;1
Ja;SEE942956157011;Amprion;In Betrieb;AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH;Turbosatz 2;50735;Köln;Geestemünder Str. 23;Nordrhein-Westfalen;42885;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Nein;Kondensationsmaschine ohne Entnahme;Abfall;Abfall;0,33;OPSD (2020);31,76;18;15,3;0;1
Ja;SEE941568476039;Amprion;In Betrieb;AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH;Turbosatz 1;50735;Köln;Geestemünder Str. 23;Nordrhein-Westfalen;35828;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);56;46;39,1;0;1
Ja;SEE971914041024;Amprion;In Betrieb;Basell Polyolefine GmbH;Gasturbine Basell Wesseling;50389;Wesseling;Brühler Straße 60;Nordrhein-Westfalen;35249;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,3696;OPSD (2020);52;51,9;45,153;40,69;149,3066829
Ja;SEE915108754215;Amprion;In Betrieb;Basell Polyolefine GmbH;Kraftwerk Basell Wesseling;50389;Wesseling;Brühler Straße 60;Nordrhein-Westfalen;22830;Mineralölprodukte;Andere Mineralölprodukte;Mineralölprodukte;Ja;Sonstige;Öl;Öl;0,3432;OPSD (2020);102;90;76,5;95,89;336,979021
Ja;SEE940474859066;Amprion;In Betrieb;BASF SE;Z564 VT1;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;33724;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,33;OPSD (2020);12,5;12;10,2;95,59;335,6390909
Ja;SEE906899424722;Amprion;In Betrieb;BASF SE;S300 NT7;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;37216;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,385;Annahme basierend auf DIW (2014);24,5;24;20,4;95,59;287,8335065
Ja;SEE976459856379;Amprion;In Betrieb;BASF SE;S300 VT1;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;23508;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,345;Annahme basierend auf DIW (2014);28,5;28;23,8;95,59;321,0895652
Ja;SEE956943312185;Amprion;In Betrieb;BASF SE;A718 KT9;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;39568;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Nein;Kondensationsmaschine ohne Entnahme;Sonstige;Sonstige;0,396;Annahme basierend auf DIW (2014);45,75;45,5;38,675;95,59;279,8659091
Ja;SEE943309807898;Amprion;In Betrieb;BASF SE;GuD Süd DT;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;35625;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Sonstige;Sonstige;0,5265;OPSD (2020);72;71,5;60,775;95,59;210,7452991
Ja;SEE976850689781;Amprion;In Betrieb;BASF SE;GuD Mitte DT10;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;38484;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Sonstige;Sonstige;0,43;OPSD (2020);90,5;89,5;76,075;95,59;257,8160465
Ja;SEE923421872301;Amprion;In Betrieb;BASF SE;GuD Süd GT2;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;35625;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,5265;OPSD (2020);167,5;165,5;143,985;40,69;104,7594492
Ja;SEE944122961347;Amprion;In Betrieb;BASF SE;GuD Süd GT1;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;35625;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,5265;OPSD (2020);175;173;150,51;40,69;104,7594492
Ja;SEE920494524915;Amprion;In Betrieb;BASF SE;GuD Mitte GT11;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;38484;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,43;OPSD (2020);206;204;177,48;40,69;128,045
Ja;SEE914414538991;Amprion;In Betrieb;BASF SE;GuD Mitte GT12;67063;Ludwigshafen;Carl-Bosch-Straße 38;Rheinland-Pfalz;38484;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,43;OPSD (2020);206;204;177,48;40,69;128,045
Ja;SEE984166693200;Amprion;In Betrieb;Boehringer Ingelheim Pharma GmbH&Co.KG;Boehringer Ingelheim - 6482 - PSI - KWK;55218;Ingelheim;Binger Strasse 173;Rheinland-Pfalz;45419;nicht biogener Abfall;Industrieabfall;Abfall;Ja;Gegendruckmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);12;12;10,2;0;1
Ja;SEE960254517375;Amprion;In Betrieb;BP Europa SE;TG6;49808;Lingen;Raffineriestr. 1;Niedersachsen;35405;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine ohne Entnahme;Erdgas;GuD;0,3806;OPSD (2020);10,1;10,1;8,787;40,69;145,0348135
Ja;SEE950981928360;Amprion;In Betrieb;BP Europa SE;TG4;49808;Lingen;Raffineriestraße 1;Niedersachsen;35405;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine ohne Entnahme;Erdgas;GuD;0,407;Annahme basierend auf DIW (2014);10,9;10,9;9,483;40,69;135,7244472
Ja;SEE967441234602;Amprion;In Betrieb;BP Europa SE;GT1;49808;Lingen;Raffineriestraße 1;Niedersachsen;35405;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,47;Annahme basierend auf DIW (2014);24,88;22,4;19,488;40,69;117,7326596
Ja;SEE909297051026;Amprion;In Betrieb;BP Europa SE;GT2;49808;Lingen;Raffineriestraße 1;Niedersachsen;35405;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,47;Annahme basierend auf DIW (2014);24,88;22,7;19,749;40,69;117,7326596
Ja;SEE908293161302;Amprion;In Betrieb;Buchmann Karton;Dampfturbine 7;76855;Annweiler;Wasgaustraße 5;Rheinland-Pfalz;41942;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,4004;Annahme basierend auf DIW (2014);10,8;10,8;9,396;40,69;137,9369381
Ja;SEE976415135319;Amprion;In Betrieb;Cargill Deutschland GmbH;BHKW Kre;47809;Krefeld;Düsseldorfer Straße 191;Nordrhein-Westfalen;35246;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Verbrennungsmotor;Erdgas;GuD;0,4406;OPSD (2020);14,33;14;12,18;40,69;125,4885384
Ja;SEE926239714443;Amprion;In Betrieb;Cargill Deutschland GmbH;DT Kre;47809;Krefeld;Düsseldorfer Strasse 191;Nordrhein-Westfalen;23496;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3839;OPSD (2020);26,775;25,714;22,37118;40,69;143,8009898
Ja;SEE941166182769;Amprion;In Betrieb;Currenta GmbH & Co. OHG;LEV KWG G22;51373;Leverkusen;Kaiser-Wilhelm-Allee 80;Nordrhein-Westfalen;33540;Steinkohle;Steinkohlen;Steinkohle;Ja;Gegendruckmaschine ohne Entnahme;Steinkohle;Steinkohle;0,33;OPSD (2020);13,4;12,671;10,1368;15,55;119,2422727
Ja;SEE976193474983;Amprion;In Betrieb;Currenta GmbH & Co. OHG;LEV KWG G21;51373;Leverkusen;Kaiser-Wilhelm-Allee 80;Nordrhein-Westfalen;32717;Steinkohle;Steinkohlen;Steinkohle;Ja;Gegendruckmaschine ohne Entnahme;Steinkohle;Steinkohle;0,33;OPSD (2020);13,4;12,671;10,1368;15,55;119,2422727
Ja;SEE917033307511;Amprion;In Betrieb;Currenta GmbH & Co. OHG;UER N230 VST4;47829;Krefeld;Rheinuferstraße 7;Nordrhein-Westfalen;24656;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine ohne Entnahme;Erdgas;GuD;0,3525;OPSD (2020);14,9;13,3;11,571;40,69;156,4768794
Ja;SEE988421065542;Amprion;In Betrieb;Currenta GmbH & Co. OHG;UER N230 NST2;47829;Krefeld;Rheinuferstraße 7;Nordrhein-Westfalen;23438;Steinkohle;Steinkohlen;Steinkohle;Ja;Gegendruckmaschine mit Entnahme;Steinkohle;Steinkohle;0,3525;OPSD (2020);15,91;15,2;12,16;15,55;111,7140426
Ja;SEE910161577337;Amprion;In Betrieb;Currenta GmbH & Co. OHG;UER L57 M1;47829;Krefeld;Rheinuferstraße 7;Nordrhein-Westfalen;34318;Steinkohle;Steinkohlen;Steinkohle;Ja;Gegendruckmaschine mit Entnahme;Steinkohle;Steinkohle;0,3175;OPSD (2020);18,2;17,097;13,6776;15,55;123,8856693
Ja;SEE956973616802;Amprion;In Betrieb;Currenta GmbH & Co. OHG;LEV KWG G12;51373;Leverkusen;Kaiser-Wilhelm-Allee 80;Nordrhein-Westfalen;21186;Steinkohle;Steinkohlen;Steinkohle;Ja;Gegendruckmaschine ohne Entnahme;Steinkohle;Steinkohle;0,33;OPSD (2020);18;17,235;13,788;15,55;119,2422727
Ja;SEE976489828827;Amprion;In Betrieb;Currenta GmbH & Co. OHG;LEV KWG G11;51373;Leverkusen;Kaiser-Wilhelm-Allee 80;Nordrhein-Westfalen;20387;Steinkohle;Steinkohlen;Steinkohle;Ja;Gegendruckmaschine ohne Entnahme;Steinkohle;Steinkohle;0,33;OPSD (2020);20;19,235;15,388;15,55;119,2422727
Ja;SEE968234156613;Amprion;In Betrieb;Currenta GmbH & Co. OHG;LEV KWX G20;51373;Leverkusen;Kaiser-Wilhelm-Allee 80;Nordrhein-Westfalen;29646;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,3641;OPSD (2020);25,6;25;21,75;40,69;151,5394122
Ja;SEE945462188876;Amprion;In Betrieb;Currenta GmbH & Co. OHG;LEV KWG G19;51373;Leverkusen;Kaiser-Wilhelm-Allee 80;Nordrhein-Westfalen;26186;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine ohne Entnahme;Erdgas;GuD;0,33;OPSD (2020);29;27,47;23,8989;40,69;167,0434848
Ja;SEE993301547841;Amprion;In Betrieb;Currenta GmbH & Co. OHG;UER N230 NST4;47829;Krefeld;Rheinuferstraße 7;Nordrhein-Westfalen;24656;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3525;OPSD (2020);29,7;29;25,23;40,69;156,4768794
Ja;SEE980525088564;Amprion;In Betrieb;Currenta GmbH & Co. OHG;UER N230 NST3;47829;Krefeld;Rheinuferstraße 7;Nordrhein-Westfalen;25948;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3525;OPSD (2020);33;32,2;28,014;40,69;156,4768794
Ja;SEE942777699660;Amprion;In Betrieb;EBS Kraftwerk GmbH;EBKW Knapsack;50354;Hürth;Industriestraße 300;Nordrhein-Westfalen;39814;nicht biogener Abfall;Industrieabfall;Abfall;Nein;Kondensationsmaschine ohne Entnahme;Abfall;Abfall;0,33;OPSD (2020);33,42;29,9;25,415;0;1
Ja;SEE915666168653;Amprion;In Betrieb;EEW Energy from Waste Saarbrücken GmbH;MHKW  Pirmasens Verbrennung II;66954;Pirmasens;Staffelberg 4;Rheinland-Pfalz;44865;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);19,15;16,4;13,94;0;1
Ja;SEE974059990561;Amprion;In Betrieb;EEW Energy from Waste Saarbrücken GmbH  AHKW-Neunkirchen;AHKW-Neunkirchen Turbine 5;66538;Neunkirchen;Am Blücherflöz 12;Saarland;44986;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);13,5;11;9,35;0;1
Ja;SEE994551453975;Amprion;In Betrieb;EkoCity;Generator A;42349;Wuppertal;Korzert 15;Nordrhein-Westfalen;27760;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);20;20;17;0;1
Ja;SEE945602121718;Amprion;In Betrieb;EkoCity;Generator B;42349;Wuppertal;Korzert 15;Nordrhein-Westfalen;27760;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);20;20;17;0;1
Ja;SEE950895373805;Amprion;In Betrieb;Energie SaarLorLux AG;Dampfturbinenanlage DT3;66121;Saarbrücken;Bismarckstraße 143;Saarland;40756;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,585;Annahme basierend auf DIW (2014);34,6;34;29,58;40,69;94,88350427
